Applicant_ID,Age,Gender,Marital_Status,Dependents,Education,Employment_Type,Years_of_Employment,Monthly_Income,Loan_Amount,Loan_Term,Interest_Rate,Loan_Purpose,Existing_Loan,Monthly_EMI,Debt_to_Income_Ratio,Credit_Score,Previous_Default,Number_of_Late_Payments,Loan_Status
APP100000,59,Male,Married,2,Graduate,Salaried,12.2,75200.0,346000,36,17.57,Wedding,1,12434.22,0.324,611.0,0,1,1
APP100001,49,Male,Single,1,Graduate,Self-Employed,3.1,66500.0,771000,12,15.87,Home Renovation,0,69906.07,1.051,602.0,0,1,0
APP100002,35,Female,Married,3,Graduate,Business Owner,4.2,30900.0,64000,12,16.15,Business,1,5811.32,0.308,490.0,0,2,0
APP100003,63,Male,Single,0,High School,Salaried,1.3,26500.0,350000,36,17.08,Medical,1,12492.39,0.604,506.0,0,1,0
APP100004,28,Male,Widowed,0,High School,Salaried,,29500.0,127000,48,17.12,Education,1,3672.48,0.301,479.0,0,3,1
APP100005,41,Female,Widowed,3,Post Graduate,Business Owner,6.9,37000.0,347000,36,16.52,Medical,0,12288.76,0.332,550.0,0,2,0
APP100006,59,Female,Married,2,Graduate,Salaried,2.1,62000.0,631000,12,13.78,Education,0,56590.37,0.913,578.0,0,1,0
APP100007,39,Female,Married,2,Graduate,Self-Employed,3.5,28900.0,177000,24,16.41,Education,1,8701.19,0.424,626.0,0,1,1
APP100008,43,Female,Married,1,Graduate,Salaried,0.6,34500.0,313000,36,20.1,Medical,0,11648.16,0.338,511.0,1,4,0
APP100009,31,Male,Married,1,Post Graduate,Self-Employed,9.5,88800.0,788000,60,14.15,Education,0,18396.72,0.207,631.0,0,2,1
APP100010,31,Female,Married,1,High School,Salaried,6.7,23200.0,79000,24,19.24,Debt Consolidation,1,3991.5,0.245,513.0,1,4,0
APP100011,44,Male,Widowed,0,Graduate,Self-Employed,7.2,33800.0,260000,60,13.73,Business,0,6013.41,0.178,569.0,0,2,1
APP100012,56,Female,Married,1,Graduate,Salaried,1.0,43000.0,553000,60,17.12,Debt Consolidation,0,13779.18,0.32,555.0,0,2,1
APP100013,60,Male,Married,1,Post Graduate,Salaried,3.4,38500.0,552000,48,19.74,Other,0,16721.19,0.434,527.0,1,9,0
APP100014,44,Female,Married,1,Graduate,Salaried,0.1,78100.0,232000,60,18.8,Medical,1,5992.71,0.236,530.0,1,2,0
APP100015,23,Female,Married,2,Post Graduate,Self-Employed,1.9,32900.0,156000,48,14.15,Education,1,4274.68,0.29,613.0,0,4,1
APP100016,42,Female,Married,4,Graduate,Salaried,2.1,11500.0,114000,24,22.02,Education,1,5915.24,0.641,501.0,1,6,0
APP100017,22,Male,Single,2,Doctorate,Salaried,1.0,88600.0,621000,12,16.27,Wedding,0,56423.24,0.637,608.0,0,5,0
APP100018,44,Male,Married,3,Post Graduate,Self-Employed,23.0,43400.0,150000,36,14.38,Debt Consolidation,0,5154.37,0.119,652.0,0,4,1
APP100019,64,Female,Single,1,Graduate,Salaried,4.8,24300.0,71000,24,16.34,Medical,1,3487.93,0.282,535.0,0,1,1
APP100020,50,Female,Married,2,Graduate,Business Owner,3.6,55000.0,719000,48,16.94,Business,0,20724.46,0.377,573.0,0,3,0
APP100021,58,Male,Married,0,Graduate,Self-Employed,2.9,49300.0,449000,24,18.85,Education,1,22600.76,0.621,577.0,1,4,0
APP100022,22,Female,Widowed,0,Post Graduate,Self-Employed,0.1,35500.0,230000,12,16.4,Travel,1,20911.66,0.73,559.0,0,3,0
APP100023,41,Female,Married,1,Graduate,Salaried,8.1,65700.0,740000,36,16.43,Business,0,26173.57,0.398,568.0,0,4,0
APP100024,53,Male,Married,1,Graduate,Self-Employed,5.6,61500.0,746000,48,14.94,Education,0,20739.06,0.337,515.0,0,1,1
APP100025,32,Female,Single,2,Graduate,Salaried,5.2,97500.0,804000,24,18.15,Debt Consolidation,0,40197.27,0.412,551.0,1,6,0
APP100026,42,Male,Married,1,Post Graduate,Business Owner,8.3,46900.0,243000,60,13.91,Travel,0,5642.85,0.12,631.0,0,3,1
APP100027,64,Male,Married,3,High School,Salaried,13.2,31400.0,175000,60,13.95,Education,1,4067.41,0.307,593.0,0,1,1
APP100028,45,Male,Married,4,High School,Salaried,2.5,32600.0,150000,24,16.03,Travel,0,7346.62,0.225,535.0,0,2,1
APP100029,47,Female,Single,0,High School,Salaried,2.8,24700.0,216000,24,17.92,Business,1,10775.26,0.543,482.0,0,2,0
APP100030,62,Female,Married,1,High School,Unemployed,0.0,8900.0,68000,36,18.73,Debt Consolidation,0,2483.34,0.279,578.0,1,3,0
APP100031,48,Male,Married,2,Graduate,Self-Employed,18.5,50700.0,386000,48,14.86,Business,0,10715.3,0.211,605.0,0,2,1
APP100032,36,,,0,Post Graduate,Salaried,5.5,60000.0,536000,12,,,0,48072.95,,622.0,0,1,0
APP100033,35,Female,Divorced,0,Graduate,Unemployed,0.0,,79000,48,16.66,Business,0,2265.68,0.283,537.0,0,1,0
APP100034,64,Female,Divorced,2,High School,Salaried,9.5,26200.0,110000,36,15.0,Travel,0,3813.19,0.146,615.0,0,3,1
APP100035,23,Male,Widowed,4,Graduate,Self-Employed,1.3,30100.0,210000,36,16.37,Wedding,1,7421.39,0.31,612.0,0,0,1
APP100036,57,Female,Married,2,Doctorate,Self-Employed,1.9,43900.0,97000,60,16.11,Business,0,2364.52,0.054,571.0,0,2,1
APP100037,27,Male,Widowed,1,Graduate,Business Owner,2.5,44000.0,552000,12,16.43,Debt Consolidation,0,50195.83,1.141,546.0,0,2,0
APP100038,41,Male,Married,1,Doctorate,Salaried,1.9,124000.0,588000,60,15.42,Debt Consolidation,0,14118.45,0.114,654.0,0,0,1
APP100039,29,Male,Single,1,High School,Salaried,8.0,80500.0,1175000,60,15.89,Wedding,0,28505.09,0.354,622.0,0,1,1
APP100040,59,Male,Married,1,High School,Self-Employed,3.6,61600.0,824000,48,16.39,Wedding,0,23517.3,0.382,548.0,0,1,1
APP100041,38,Female,Single,1,Post Graduate,Salaried,15.4,37400.0,388000,48,16.34,Business,0,11063.71,0.296,639.0,0,0,0
APP100042,24,Male,Single,0,Graduate,Salaried,1.9,44500.0,231000,12,16.78,Home Renovation,1,21044.19,0.61,617.0,0,1,0
APP100043,45,Female,Single,3,Post Graduate,Self-Employed,0.2,18700.0,38000,36,18.24,Travel,0,1378.37,0.074,430.0,0,2,1
APP100044,34,Male,Single,2,Post Graduate,Self-Employed,0.7,48100.0,386000,24,19.16,Education,0,19487.75,0.405,497.0,1,4,0
APP100045,29,Male,Married,2,Graduate,Salaried,1.2,29900.0,258000,48,19.69,Medical,1,7808.48,0.322,503.0,1,4,0
APP100046,46,Female,Married,4,Graduate,Salaried,5.1,92700.0,1075000,48,15.02,Business,0,29928.95,0.323,621.0,0,1,0
APP100047,22,Female,Single,0,Graduate,Salaried,1.0,41400.0,99000,36,15.73,Travel,0,3467.36,0.084,579.0,0,0,1
APP100048,40,Male,Married,0,Post Graduate,Self-Employed,2.4,53300.0,464000,48,15.49,Home Renovation,0,13029.01,0.244,587.0,0,1,1
APP100049,48,Male,Married,3,Graduate,Self-Employed,7.9,38600.0,457000,36,14.32,Other,1,15690.3,0.466,615.0,0,1,0
APP100050,27,Male,Widowed,4,High School,Business Owner,0.7,31400.0,240000,36,17.18,Home Renovation,0,8578.17,0.273,489.0,0,1,0
APP100051,64,Male,Married,1,Graduate,Self-Employed,0.4,52100.0,415000,48,15.89,Travel,0,11737.85,0.225,514.0,0,0,0
APP100052,28,Female,Married,0,Doctorate,Self-Employed,3.9,45900.0,576000,36,15.1,Debt Consolidation,0,19995.45,0.436,614.0,0,0,0
APP100053,55,Female,Single,2,High School,Salaried,6.0,38200.0,307000,24,16.63,Wedding,0,15124.25,0.396,578.0,0,4,1
APP100054,34,Male,Single,0,High School,Salaried,12.1,59400.0,617000,48,13.87,Travel,1,16820.23,0.482,646.0,0,2,0
APP100055,37,Female,Single,1,Graduate,Self-Employed,5.4,42300.0,507000,36,16.6,Education,0,17975.16,0.425,534.0,0,0,1
APP100056,56,Female,Married,0,Post Graduate,Salaried,14.6,40300.0,532000,36,20.09,Wedding,0,19795.43,0.491,553.0,1,3,0
APP100057,60,Male,Widowed,3,Graduate,Unemployed,0.0,8700.0,99000,48,17.57,Business,0,2885.93,0.332,464.0,1,3,0
APP100058,24,Male,Single,1,High School,Business Owner,1.4,66200.0,245000,48,15.47,Medical,0,6877.05,0.104,594.0,0,3,0
APP100059,22,Female,Single,3,Graduate,Salaried,1.0,38900.0,443000,48,16.33,Home Renovation,1,12629.74,0.436,593.0,0,2,0
APP100060,26,Male,Single,0,High School,Salaried,5.0,21400.0,53000,60,16.3,Education,1,1297.32,0.232,566.0,0,2,0
APP100061,62,Male,Married,1,High School,Salaried,8.3,43500.0,510000,24,15.11,Debt Consolidation,0,24754.85,0.569,,0,2,0
APP100062,24,Male,Married,4,Graduate,Self-Employed,3.0,28000.0,184000,36,14.8,Other,0,6360.41,0.227,570.0,0,5,0
APP100063,49,Male,Married,0,Graduate,Self-Employed,3.5,35500.0,187000,84,14.42,Debt Consolidation,1,3547.91,0.282,588.0,0,1,1
APP100064,38,Female,Single,1,Graduate,Salaried,0.1,40700.0,568000,12,20.63,Wedding,1,52787.81,1.2,458.0,1,5,0
APP100065,46,Male,Married,1,High School,Business Owner,1.6,24300.0,340000,60,17.34,Home Renovation,0,8512.16,0.35,528.0,0,1,1
APP100066,64,Male,Single,2,Graduate,Self-Employed,0.9,16400.0,93000,12,17.26,Education,0,8493.52,0.518,554.0,0,1,0
APP100067,54,Female,Married,0,Post Graduate,Salaried,0.3,59100.0,538000,12,16.23,Home Renovation,0,48871.78,0.827,616.0,0,4,1
APP100068,30,Female,Single,1,Graduate,Salaried,7.5,12100.0,82000,24,17.03,Travel,1,4055.45,0.53,533.0,0,0,1
APP100069,56,Female,Married,2,Graduate,Salaried,0.7,22900.0,84000,36,16.41,Wedding,0,2970.22,0.13,552.0,0,1,1
APP100070,34,Male,Married,1,High School,Salaried,2.2,42900.0,302000,24,16.08,Education,1,14798.41,0.431,551.0,0,3,0
APP100071,51,Male,Married,0,High School,Salaried,19.0,35800.0,395000,36,13.56,Home Renovation,1,13415.9,0.485,621.0,0,2,1
APP100072,35,Male,Married,2,Post Graduate,Salaried,2.6,43600.0,149000,36,18.88,Travel,0,5452.71,0.125,495.0,1,6,0
APP100073,28,Male,Married,1,Graduate,Business Owner,0.8,29000.0,168000,84,17.43,Other,0,3475.09,0.12,510.0,0,1,1
APP100074,34,Female,Single,0,Graduate,Salaried,5.9,29300.0,106000,36,19.6,Education,0,3917.77,0.134,455.0,1,1,0
APP100075,43,Male,Married,2,Post Graduate,Salaried,8.3,63000.0,208000,48,14.98,Education,1,5786.69,0.246,567.0,0,1,1
APP100076,60,Male,Married,3,Post Graduate,Salaried,1.6,44200.0,131000,12,16.68,Home Renovation,0,11927.94,0.27,589.0,1,5,1
APP100077,41,Male,Married,0,Post Graduate,Self-Employed,8.3,28000.0,206000,48,15.49,Wedding,0,5784.43,0.207,530.0,0,1,0
APP100078,36,Male,Married,1,Graduate,Self-Employed,1.6,25700.0,278000,24,16.53,Wedding,1,13682.25,0.699,,0,0,1
APP100079,65,Female,Married,2,High School,Business Owner,5.9,29200.0,225000,24,15.15,Education,0,10925.54,0.374,589.0,0,0,1
APP100080,38,Male,Married,0,Doctorate,Self-Employed,0.7,76800.0,415000,84,13.17,Business,1,7588.07,0.256,689.0,0,2,0
APP100081,44,Male,Single,0,Post Graduate,Self-Employed,2.8,54700.0,633000,24,15.35,Home Renovation,0,30797.41,0.563,563.0,0,1,0
APP100082,46,Male,Married,1,High School,Salaried,3.7,15600.0,97000,60,15.97,Other,0,2357.31,0.151,572.0,0,2,1
APP100083,45,Male,Single,2,Post Graduate,Self-Employed,6.5,101800.0,273000,36,15.17,Travel,1,9486.38,0.149,586.0,0,0,0
APP100084,65,Male,Married,0,Graduate,Salaried,5.2,25000.0,64000,36,16.26,Home Renovation,1,2258.27,0.205,581.0,0,3,1
APP100085,61,Female,Married,3,Graduate,Self-Employed,9.6,49800.0,661000,12,17.21,Wedding,0,60352.24,1.2,592.0,1,6,0
APP100086,49,Male,Single,2,High School,Salaried,1.0,18100.0,46000,48,17.06,Debt Consolidation,0,1328.76,0.073,518.0,0,2,0
APP100087,35,Female,Divorced,0,Graduate,Business Owner,5.4,157000.0,840000,36,14.72,Education,0,29003.83,0.185,588.0,0,2,1
APP100088,65,Female,Married,1,High School,Salaried,0.7,56400.0,360000,48,16.38,Business,0,10272.7,0.182,628.0,0,1,1
APP100089,21,Female,Married,4,Graduate,Salaried,1.0,24700.0,156000,60,18.95,Home Renovation,1,4042.44,0.255,543.0,1,5,0
APP100090,45,Female,Single,0,High School,Self-Employed,3.7,33400.0,428000,48,16.95,Education,1,12338.89,0.529,504.0,0,2,1
APP100091,27,Male,Married,1,Graduate,Self-Employed,,23900.0,173000,12,17.37,Business,1,15808.82,0.757,511.0,0,2,0
APP100092,29,Male,Divorced,2,Graduate,Salaried,0.4,30400.0,361000,12,16.94,Debt Consolidation,0,32914.64,1.083,498.0,0,1,0
APP100093,44,Male,Married,0,Post Graduate,Salaried,9.1,58300.0,179000,36,13.76,Medical,0,6096.95,0.105,629.0,0,0,1
APP100094,21,Female,Widowed,0,High School,Salaried,1.0,44300.0,549000,12,15.89,Travel,0,49782.67,1.124,511.0,0,0,0
APP100095,64,Female,Single,0,Post Graduate,Salaried,2.1,25400.0,189000,84,15.38,Medical,0,3687.5,0.145,595.0,0,1,1
APP100096,28,Female,Married,0,Graduate,Salaried,5.1,25000.0,172000,48,17.28,Travel,0,4988.02,0.2,590.0,0,3,1
APP100097,44,Male,Married,0,Post Graduate,Salaried,1.2,75600.0,632000,60,15.74,Business,0,15281.84,0.202,577.0,0,4,1
APP100098,31,Female,Married,2,Graduate,Business Owner,1.1,88000.0,736000,12,14.69,Home Renovation,0,66322.5,0.754,592.0,0,3,0
APP100099,37,Male,Single,4,Post Graduate,Self-Employed,2.7,35300.0,505000,36,16.43,Medical,0,17861.7,0.506,530.0,0,4,1
APP100100,28,Male,Married,0,Graduate,Salaried,0.3,58600.0,490000,36,16.28,Home Renovation,1,17294.76,0.43,592.0,0,2,1
APP100101,55,Male,Married,1,Graduate,Salaried,12.4,19600.0,79000,24,16.94,Other,1,3903.66,0.255,520.0,0,1,1
APP100102,55,Male,Married,0,Graduate,Salaried,14.1,31300.0,98000,12,18.27,Medical,0,8997.24,0.287,572.0,1,9,0
APP100103,53,Male,Married,0,Doctorate,Salaried,3.0,32800.0,303000,24,16.05,Education,1,14843.06,0.579,546.0,0,4,0
APP100104,25,Male,Married,0,Post Graduate,Self-Employed,1.2,42400.0,553000,48,15.8,Business,1,15615.59,0.443,591.0,0,1,0
APP100105,62,Male,Married,1,Graduate,Salaried,3.2,94300.0,576000,12,15.01,Wedding,1,51991.51,0.731,668.0,0,1,1
APP100106,59,Female,Single,3,High School,Business Owner,0.5,35300.0,449000,36,17.07,Other,1,16023.72,0.55,536.0,1,1,0
APP100107,61,Female,Married,1,Post Graduate,Salaried,2.5,41000.0,252000,36,16.14,Debt Consolidation,0,8877.0,0.217,563.0,0,3,1
APP100108,48,Female,Married,1,Doctorate,Salaried,0.4,43800.0,399000,24,16.54,Debt Consolidation,1,19639.39,0.532,503.0,0,1,0
APP100109,27,Male,Widowed,0,Graduate,Business Owner,6.0,39100.0,492000,24,18.85,Debt Consolidation,1,24765.2,0.699,556.0,0,0,1
APP100110,29,,,0,Post Graduate,Salaried,1.6,31500.0,218000,24,,,0,10492.57,,592.0,0,4,1
APP100111,28,Female,Married,3,High School,Salaried,3.7,31100.0,196000,48,20.61,Medical,0,6028.24,0.194,467.0,1,5,1
APP100112,32,Male,Single,0,Doctorate,Salaried,0.1,57200.0,171000,36,15.37,Education,0,5958.8,0.104,555.0,0,0,1
APP100113,54,Male,Single,4,Post Graduate,Salaried,3.7,37600.0,527000,48,15.56,Debt Consolidation,1,14816.84,0.489,598.0,0,8,0
APP100114,53,Male,Married,0,Graduate,Salaried,0.0,27600.0,409000,48,15.16,Business,1,11415.98,0.529,549.0,0,4,0
APP100115,43,Male,Married,2,Graduate,Business Owner,13.0,49700.0,481000,36,18.0,Medical,1,17389.3,0.45,586.0,1,4,0
APP100116,44,Female,Single,4,Graduate,Business Owner,3.5,31500.0,398000,84,15.8,Other,0,7859.83,0.25,595.0,0,3,1
APP100117,57,Female,Married,0,Graduate,Business Owner,0.5,40300.0,406000,36,15.33,Travel,0,14139.82,0.351,523.0,0,3,1
APP100118,55,Male,Married,1,Post Graduate,Salaried,2.1,37700.0,234000,60,16.65,Home Renovation,1,5771.56,0.26,526.0,0,5,0
APP100119,64,Female,Widowed,2,Post Graduate,Unemployed,0.0,8000.0,50000,36,19.38,Business,0,1842.42,0.23,438.0,0,3,0
APP100120,60,Female,,0,Graduate,Self-Employed,0.2,61400.0,688000,24,,Other,0,33349.01,,585.0,0,2,1
APP100121,42,Female,Married,2,Post Graduate,Salaried,3.8,18900.0,205000,48,17.8,Business,1,6000.47,0.436,553.0,0,0,0
APP100122,47,Male,Married,0,Graduate,Salaried,0.7,15000.0,222000,36,16.79,Travel,1,7891.72,0.667,504.0,0,5,0
APP100123,55,Female,Single,0,Post Graduate,Self-Employed,3.2,81300.0,204000,24,17.08,Other,0,10094.07,0.124,544.0,0,1,1
APP100124,21,Male,Married,0,Post Graduate,Self-Employed,1.0,29800.0,346000,60,17.2,Education,1,8636.24,0.48,533.0,0,4,1
APP100125,55,Male,Married,3,Post Graduate,Salaried,7.2,16700.0,154000,12,15.18,Home Renovation,0,13912.86,0.833,561.0,0,0,0
APP100126,57,Male,Single,0,High School,Salaried,3.3,56700.0,716000,24,17.27,Education,0,35493.62,0.626,522.0,0,1,0
APP100127,34,Male,,0,Graduate,Unemployed,0.0,8000.0,20000,48,,Education,0,621.68,,418.0,1,5,0
APP100128,23,Female,Married,1,Graduate,Salaried,2.0,66700.0,763000,24,19.45,Business,1,38628.8,0.742,482.0,1,5,0
APP100129,21,Male,Married,0,Graduate,Salaried,1.0,23000.0,113000,36,18.31,Debt Consolidation,0,4102.81,0.178,463.0,0,3,0
APP100130,25,Male,Married,1,Graduate,Business Owner,4.0,20000.0,174000,36,17.05,Debt Consolidation,1,6207.91,0.431,482.0,0,4,1
APP100131,46,Male,Married,0,Post Graduate,Salaried,1.5,40200.0,451000,24,16.02,Medical,1,22086.67,0.604,553.0,0,1,1
APP100132,34,Female,Married,2,Graduate,Business Owner,7.3,24800.0,309000,36,16.27,Business,0,10904.76,0.44,560.0,0,1,0
APP100133,59,Male,Married,2,Graduate,Self-Employed,2.9,48900.0,566000,36,14.28,Home Renovation,0,19421.6,0.397,565.0,0,3,1
APP100134,47,Female,Divorced,1,High School,Salaried,2.8,40700.0,510000,24,16.7,Medical,1,25142.1,0.727,577.0,0,2,0
APP100135,29,Male,Single,0,Graduate,Salaried,8.0,57800.0,121000,36,14.57,Wedding,1,4169.07,0.143,595.0,0,0,1
APP100136,35,Male,Single,1,Graduate,Salaried,0.8,31100.0,230000,48,16.72,Travel,1,6603.39,0.407,557.0,0,0,1
APP100137,35,Male,Married,2,High School,Salaried,3.2,57900.0,164000,24,14.03,Debt Consolidation,1,7876.44,0.213,569.0,0,1,0
APP100138,46,Male,Single,0,High School,Self-Employed,4.5,20100.0,207000,60,20.42,Business,0,5532.72,0.275,501.0,1,4,0
APP100139,62,Male,Married,0,Graduate,Salaried,0.3,38800.0,201000,60,17.67,Business,0,5068.06,0.131,500.0,0,1,1
APP100140,33,Male,Married,0,High School,Self-Employed,10.0,29800.0,65000,12,17.07,Other,0,5930.47,0.199,543.0,0,2,1
APP100141,52,Female,Divorced,2,High School,Self-Employed,1.9,85700.0,221000,60,13.77,Wedding,1,5115.97,0.153,631.0,0,4,1
APP100142,59,Female,Married,4,Post Graduate,Self-Employed,5.3,95000.0,392000,24,13.18,Debt Consolidation,1,18669.55,0.33,701.0,0,0,1
APP100143,52,Male,Married,0,Post Graduate,Unemployed,0.0,12000.0,83000,12,17.54,Wedding,0,7591.28,0.633,550.0,0,1,0
APP100144,24,Male,Single,0,Graduate,Self-Employed,3.0,44100.0,414000,84,16.48,Business,0,8336.48,0.189,568.0,0,4,0
APP100145,50,Female,Married,0,Graduate,Business Owner,6.4,97800.0,890000,36,15.81,Business,0,31206.34,0.319,643.0,0,0,0
APP100146,57,Male,Married,0,Post Graduate,Salaried,10.9,32400.0,408000,60,13.36,Wedding,1,9358.62,0.431,653.0,0,1,1
APP100147,43,Male,Married,1,High School,Self-Employed,0.4,11600.0,74000,24,20.08,Debt Consolidation,0,3769.18,0.325,479.0,1,3,0
APP100148,59,Female,Single,3,Graduate,Self-Employed,3.4,24600.0,127000,60,13.91,Education,0,2949.15,0.12,687.0,0,1,1
APP100149,65,Female,Single,0,Graduate,Business Owner,4.2,36900.0,441000,60,14.84,Medical,0,10454.36,0.283,643.0,0,2,1
APP100150,35,Male,Married,2,Post Graduate,Salaried,5.8,93200.0,697000,36,17.35,Home Renovation,1,24971.53,0.325,523.0,0,2,0
APP100151,63,Male,Married,1,Doctorate,Salaried,0.6,97500.0,1367000,60,15.59,Travel,1,32945.72,0.528,540.0,0,4,1
APP100152,49,Male,Married,2,Graduate,Salaried,5.3,35500.0,237000,36,14.67,Education,0,8177.43,0.23,693.0,0,1,1
APP100153,56,Female,Married,1,Graduate,Salaried,0.8,45900.0,442000,48,15.26,Business,0,12359.52,0.269,609.0,0,2,1
APP100154,33,Male,Single,0,Graduate,Salaried,0.4,25500.0,302000,48,15.05,Wedding,0,8412.54,0.33,508.0,0,2,1
APP100155,52,Male,Married,4,Doctorate,Salaried,3.2,165100.0,1648000,60,15.3,Medical,0,39465.8,0.239,604.0,0,1,1
APP100156,27,Male,Married,0,Post Graduate,Business Owner,4.6,108200.0,1611000,48,15.96,Home Renovation,0,45623.2,0.422,615.0,0,2,1
APP100157,42,Male,Single,1,Graduate,Salaried,15.9,37300.0,247000,84,14.56,Home Renovation,0,4705.53,0.126,636.0,0,2,1
APP100158,48,Female,Married,3,Post Graduate,Salaried,6.0,45500.0,130000,12,15.22,Home Renovation,1,11747.08,0.344,636.0,0,1,1
APP100159,22,Female,Married,0,High School,Business Owner,1.0,51600.0,363000,60,17.13,Home Renovation,0,9046.88,0.175,560.0,0,1,1
APP100160,62,Female,Married,1,Graduate,Salaried,1.2,35300.0,135000,24,16.04,Business,1,6612.6,0.267,573.0,0,3,0
APP100161,65,Male,Married,3,High School,Unemployed,0.0,8000.0,26000,12,15.84,Business,1,2357.03,0.435,505.0,0,1,0
APP100162,26,Male,Single,4,High School,Salaried,0.8,62500.0,787000,24,18.19,Education,0,39362.56,0.63,514.0,1,5,0
APP100163,48,Male,Divorced,2,Graduate,Salaried,4.7,65100.0,410000,48,17.89,Home Renovation,0,12020.2,0.185,535.0,0,2,1
APP100164,48,Male,Married,0,Post Graduate,Salaried,1.3,56900.0,336000,36,15.72,Home Renovation,0,11766.37,0.207,559.0,0,1,1
APP100165,64,Female,Married,2,Graduate,Unemployed,0.0,8000.0,37000,48,15.29,Wedding,1,1035.18,0.308,536.0,0,2,0
APP100166,64,Male,Divorced,2,Graduate,Business Owner,6.1,45600.0,671000,48,19.65,Other,0,20293.86,0.445,517.0,1,6,0
